,Comb,ACC,Sn,Sp,AUC
0,[48],0.8+-0.15,0.42+-0.37,0.86+-0.22,0.81+-0.14
1,"[48, 84]",0.84+-0.11,0.44+-0.33,0.91+-0.14,0.8+-0.18
2,"[48, 84, 7]",0.86+-0.07,0.3+-0.37,0.96+-0.1,0.8+-0.18
3,"[48, 84, 7, 41]",0.84+-0.11,0.45+-0.31,0.91+-0.14,0.78+-0.16
4,"[48, 84, 7, 41, 50]",0.82+-0.13,0.48+-0.4,0.87+-0.18,0.82+-0.17
5,"[48, 84, 7, 41, 50, 93]",0.84+-0.12,0.57+-0.36,0.88+-0.17,0.83+-0.14
6,"[48, 84, 7, 41, 50, 93, 28]",0.85+-0.08,0.4+-0.34,0.93+-0.11,0.77+-0.16
7,"[48, 84, 7, 41, 50, 93, 28, 92]",0.83+-0.14,0.41+-0.32,0.9+-0.18,0.78+-0.18
8,"[48, 84, 7, 41, 50, 93, 28, 92, 64]",0.81+-0.12,0.47+-0.35,0.87+-0.16,0.82+-0.15
9,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88]",0.84+-0.13,0.47+-0.35,0.9+-0.17,0.83+-0.12
10,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86]",0.86+-0.05,0.33+-0.33,0.95+-0.07,0.82+-0.19
11,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46]",0.85+-0.08,0.35+-0.32,0.93+-0.12,0.81+-0.16
12,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70]",0.84+-0.08,0.5+-0.29,0.9+-0.09,0.83+-0.12
13,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89]",0.86+-0.07,0.47+-0.32,0.93+-0.08,0.86+-0.11
14,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39]",0.84+-0.14,0.45+-0.4,0.9+-0.18,0.82+-0.15
15,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40]",0.83+-0.12,0.55+-0.37,0.87+-0.16,0.82+-0.16
16,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0]",0.85+-0.1,0.41+-0.39,0.92+-0.14,0.84+-0.14
17,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56]",0.86+-0.07,0.39+-0.41,0.93+-0.09,0.82+-0.19
18,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2]",0.82+-0.11,0.51+-0.36,0.88+-0.16,0.85+-0.14
