,Comb,ACC,Sn,Sp,AUC
0,[48],0.82+-0.07,0.38+-0.23,0.89+-0.09,0.69+-0.15
1,"[48, 84]",0.9+-0.06,0.52+-0.29,0.97+-0.04,0.91+-0.12
2,"[48, 84, 7]",0.87+-0.06,0.4+-0.27,0.96+-0.06,0.91+-0.09
3,"[48, 84, 7, 41]",0.89+-0.07,0.5+-0.33,0.95+-0.05,0.92+-0.06
4,"[48, 84, 7, 41, 50]",0.89+-0.04,0.41+-0.27,0.97+-0.04,0.94+-0.06
5,"[48, 84, 7, 41, 50, 93]",0.88+-0.07,0.41+-0.32,0.96+-0.05,0.94+-0.06
6,"[48, 84, 7, 41, 50, 93, 28]",0.87+-0.06,0.33+-0.33,0.96+-0.04,0.93+-0.05
7,"[48, 84, 7, 41, 50, 93, 28, 92]",0.88+-0.05,0.41+-0.28,0.96+-0.05,0.94+-0.05
8,"[48, 84, 7, 41, 50, 93, 28, 92, 64]",0.88+-0.06,0.39+-0.28,0.96+-0.04,0.92+-0.08
9,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88]",0.89+-0.05,0.37+-0.28,0.97+-0.03,0.94+-0.07
10,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86]",0.89+-0.05,0.4+-0.26,0.97+-0.05,0.92+-0.07
11,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46]",0.88+-0.05,0.35+-0.27,0.96+-0.04,0.9+-0.12
12,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70]",0.89+-0.04,0.32+-0.27,0.99+-0.03,0.91+-0.08
13,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89]",0.88+-0.04,0.29+-0.24,0.97+-0.03,0.92+-0.06
14,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39]",0.89+-0.04,0.31+-0.3,0.98+-0.03,0.94+-0.06
15,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40]",0.88+-0.04,0.27+-0.18,0.98+-0.03,0.91+-0.06
16,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0]",0.9+-0.04,0.36+-0.22,0.99+-0.02,0.92+-0.06
17,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56]",0.9+-0.03,0.34+-0.21,0.99+-0.03,0.94+-0.05
18,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2]",0.88+-0.05,0.32+-0.27,0.98+-0.04,0.93+-0.05
19,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66]",0.91+-0.04,0.39+-0.27,0.99+-0.02,0.92+-0.07
20,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15]",0.9+-0.03,0.38+-0.21,0.99+-0.02,0.91+-0.09
21,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95]",0.91+-0.04,0.38+-0.25,0.99+-0.02,0.91+-0.08
22,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78]",0.9+-0.05,0.36+-0.31,0.99+-0.03,0.92+-0.06
23,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58]",0.89+-0.04,0.3+-0.29,0.99+-0.02,0.89+-0.09
24,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5]",0.88+-0.03,0.28+-0.26,0.98+-0.03,0.92+-0.06
25,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6]",0.9+-0.05,0.41+-0.34,0.99+-0.03,0.89+-0.1
26,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98]",0.89+-0.05,0.33+-0.32,0.98+-0.04,0.9+-0.11
27,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73]",0.9+-0.04,0.38+-0.3,0.99+-0.03,0.91+-0.08
28,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43]",0.89+-0.05,0.31+-0.31,0.99+-0.03,0.92+-0.08
