SLC39A8,RHAG,DDIT4,MPO,RRM2,CCL3,MAFF,TYMS,ENPP2,KIAA0101,TOP2A,KIF11,PRG2,CKS2,SLCO4A1,ZWINT,CCNB1,CEP55,NUSAP1,RGS1,PTTG1,PRC1,CD24,CCNB2,HMMR,RGL1,MLF1IP,FABP5,MAD2L1,CD69,EMP1,RACGAP1,TTK,NME1,TFRC,CTSL1,EBI3,SHCBP1,CCRL2,KIF14,MELK,TFDP2,MT1G,H1F0,MCM4,AREG,NEK2,MT1H,TPX2,BTG3,RAB13,CDC20,CASC5,MT1E,SCD,GINS2,E2F8,STAT4,CKS1B,CCNE2,RAD51AP1,TNFAIP3,MCM6,NDUFS5,RPL10,BUB1B,MT1X,CDKN3,NNMT,COX6C,LSM5,PSMG1,CENPA,KIF4A,MCM2,MT1F,RPA3,COX7B,MYL6B,PCNT,ATAD2,SDC4,WBP5,TARS,CCL20,RAD51,JUN,FEN1,AURKA,SNRPG,KIF2C,POLE2,UBE2C,AURKB,CENPF,TGFBI,CCR2,CPVL,RGS2,FGL2,HSPA6,EMR3,RCBTB2,NUAK2,CD302,MANSC1,CLEC7A,FRAT1
7.83775973,4.112866123,8.046404961,2.32406938,4.759058682,3.140720641,8.578116355,5.230841969,3.862936581,5.590981076,3.746230509,2.530970745,2.067651712,6.424284223,4.103027727,4.327974736,4.025743648,3.285041299,5.008812861,3.747381186,5.988814431,2.680998373,9.83226499,3.962405871,3.752682072,3.447420703,3.577167733,4.31413865,5.218656637,6.826474414,2.695626052,4.787570348,3.964447138,4.838680255,8.58143006,7.433513779,2.508861518,3.409005748,8.113696425,3.559417822,3.382777586,4.714003468,5.303477307,5.363508105,4.542588031,5.491560506,3.090377412,5.445808079,2.106549341,4.18612836,6.676142417,2.675352251,3.670579922,4.316835786,3.348624078,3.375076684,2.845693369,5.99123973,4.126093602,4.217526283,3.0366857,9.657705122,6.736581229,7.669709921,7.669709921,2.386423344,7.081876553,3.135528307,4.178649481,9.317581383,8.553082131,4.928097911,2.497888956,2.389034902,2.630918346,4.836510754,6.439334224,10.07757118,4.369335014,3.791490521,3.86801946,3.453014405,3.185965597,7.208446921,2.14239511,3.209262235,3.209611316,4.062130241,3.009848673,9.787392842,2.240853556,2.622261387,4.787508461,3.002504155,2.246339093,4.143039212,7.817753971,5.722328694,8.859253303,11.81219243,9.884938489,2.135084206,8.358141768,7.988769654,8.44865847,8.732754007,9.525484794,8.78577468
7.751983142,1.48579474,8.971048989,5.258545794,7.684430446,2.811140867,4.715506687,7.567844895,3.212268256,6.279264517,7.422459388,4.117334994,2.336593528,6.463235158,4.957718044,5.581224861,5.559283395,5.662753504,7.177233157,2.421339341,7.688447437,4.477404779,10.31609372,6.315539077,4.633551399,4.192515704,4.590671115,5.83101658,6.008698683,4.930772604,4.270834502,6.249967536,3.045275893,5.386751779,7.358074912,7.004696747,2.663313696,4.802062168,3.458776647,4.901593622,3.962931292,4.26382143,4.241411099,5.765465548,5.99716822,2.372620895,3.671559559,3.730368255,4.047861771,4.200695412,6.692702656,4.3953071,4.115305717,3.077580379,5.17741691,3.692090659,4.063540839,3.535820344,3.581616202,3.365038216,3.204588099,8.413236554,7.182764233,7.977104559,7.977104559,3.476282311,6.481600833,3.616439599,3.34110797,9.380221076,8.675383073,5.850575382,3.538524599,3.597240669,4.084441279,4.639912858,6.267710425,9.873881825,4.710024568,4.386551622,4.298879634,3.191077759,2.202924764,7.389657161,1.931043797,3.099671698,3.534229271,4.65137953,4.084428599,9.877402613,3.083158007,2.470561543,5.049623229,2.6672295,3.301097778,4.977649946,8.707474712,6.251312613,10.36775933,9.30309344,8.728278861,1.673704586,7.057639091,7.69430879,8.094179463,10.46106088,8.528013013,8.823992529
10.27905306,1.925620192,8.712714119,1.856426825,5.890787955,5.947865929,9.109963393,6.066830336,3.086101254,4.688248486,3.334740259,2.988987681,2.078940385,6.600210335,3.91917894,4.799862564,4.071137616,2.544239062,5.557573004,4.343195216,5.945643968,2.456494354,8.76016497,4.46528591,3.458376032,3.461760623,3.443371999,7.091874344,4.976648277,6.331656489,2.866762763,5.268527875,3.169639453,5.07100367,8.94724668,7.070420521,5.866185771,3.413286771,9.098886226,3.502946331,3.538366233,4.083529167,7.201407225,4.583416783,3.566839256,3.588671014,4.225342405,6.470891369,2.208980018,6.033729723,6.267020298,2.627981949,4.577813981,5.848980291,4.731833048,3.523014597,2.80778638,6.153524349,4.386739372,3.43175573,2.715747135,11.33105507,6.879870798,7.507898651,7.507898651,3.167579358,8.720825384,3.410795234,6.008532581,9.595503567,8.69632548,3.964838496,2.304471376,2.743877584,3.260042594,6.58346612,7.044993606,10.28638015,5.085842201,4.041236837,3.879088933,4.578081405,2.201589841,5.916145944,2.098009015,2.703586575,3.757488617,3.554817,2.921563755,10.67318162,2.399207921,2.270242797,4.136698922,3.181529873,2.66303204,4.036439637,2.932313234,2.841639418,8.161037334,11.02765925,8.115264962,1.706595493,5.362375733,6.276276172,6.664948999,5.318823872,9.43954564,8.135533841
9.601609272,5.888388141,8.527441199,5.750054514,8.20651381,5.134265553,5.156271413,8.057016111,2.684719201,7.520500801,7.644870195,5.210966634,3.299122398,7.359554617,3.983836767,7.001610636,6.935843803,6.208865612,7.168168705,2.340217388,8.887465564,4.454393817,11.34419084,6.072688115,5.973117807,3.865976685,5.305957925,5.31893206,7.105196685,5.296090321,2.560823151,6.627152552,5.750825265,5.852333825,8.544909209,7.279738128,3.864617615,6.035223864,4.423292496,5.819608174,3.771668629,4.692275763,4.26502213,4.760028042,5.075778207,2.343102552,4.612758074,4.559708389,3.928900931,5.254950096,7.020148236,4.951182489,6.854404382,4.373830263,3.827051194,4.079112171,3.774392499,4.061213592,5.079704967,4.888341785,4.364414022,9.086531195,7.099397211,6.372151261,6.372151261,3.782745213,6.531285929,5.045050707,3.222885511,8.662540295,8.178593358,5.505684088,4.458035516,3.105941747,3.242761142,5.524654049,6.015508479,8.944653708,5.346650203,3.700383374,4.907763524,3.566211825,2.330943265,6.917577458,2.120159507,3.675483516,3.585488582,5.330525663,4.034944243,9.025149088,3.205451316,2.998326939,5.8467442,3.883343861,3.662963445,4.616063524,8.859345914,6.095364869,9.948186848,9.271985431,9.02870208,1.464756309,6.420084338,7.701586515,9.473646108,9.741524296,8.263512765,7.884369137
7.785195255,4.846311624,9.301228733,8.695506972,10.03250271,6.555199012,8.041716264,9.81344802,7.125344345,7.953979194,7.35557009,6.326331889,4.351770909,7.939606704,2.915444725,7.908367842,7.956706819,6.500002712,8.756859304,3.830116563,8.786446082,5.444264622,9.612260136,7.651590018,6.876951753,7.121588049,7.515439581,8.589992388,7.132026436,6.130110807,8.35676063,8.631739322,6.035094458,8.615081339,9.504080056,8.532749901,2.739924036,7.141372264,4.934393284,5.682475955,6.690896361,5.754750317,9.007118168,6.167289183,8.889098914,2.086603439,5.399447297,9.405627127,5.698980469,5.225269206,6.661985763,6.585902963,5.392611391,8.247823848,5.948171252,6.700840167,5.46199303,3.964955494,6.355877126,5.410639286,6.335415795,8.922553857,9.341632769,8.703223844,8.703223844,5.164460639,10.78736769,4.422613864,3.174917731,10.09337074,9.564488743,7.322463778,3.918774391,4.916441225,6.888787489,8.666598086,7.609907663,10.19197801,5.668790869,7.405363379,6.057756653,3.599646199,2.325558557,8.25023456,1.947446481,6.441653424,5.497424944,6.78336642,6.314856764,10.32884794,4.966912021,4.004817128,6.864788538,5.244933158,4.199692459,6.542890101,5.720991965,4.970816222,8.848569855,10.653802,7.83307818,1.704963743,7.090538905,8.225254085,6.593450728,8.207967551,9.555133928,8.603357541
5.147535549,2.539780676,9.449671821,2.831685756,3.783744379,4.161565401,4.928000633,2.872455646,2.345908073,2.817638947,3.132813968,1.756543847,1.899006167,5.539797269,3.433242526,3.30784675,3.444878459,2.370370578,3.951131239,2.667718712,3.816523427,1.992982978,8.537431911,2.71638579,2.86428557,3.129935629,4.073837019,4.046847082,4.512627092,6.140406317,3.620765492,5.104194087,2.377884553,5.054775663,8.033917621,6.632764085,2.131790988,2.88496317,2.994764341,3.303680993,2.565563056,4.096487982,3.75520722,3.202460382,4.122457292,3.243610532,2.827566568,3.123685704,1.765773482,4.15184417,6.597641394,1.934173172,3.007142386,2.706655261,3.508718173,1.97247562,1.980476975,4.279385083,3.459484343,3.737757697,2.716304754,9.248419167,6.598893244,8.790391197,8.790391197,1.408310836,5.792291111,2.684738835,3.085236414,9.571915785,8.270250953,4.534349156,1.882286699,2.51197427,2.471050329,3.042713898,5.940320283,10.1838874,2.654147473,3.750453153,3.493080404,3.098455259,2.215586209,7.398864337,2.056711479,1.956533062,3.079038769,3.511515817,2.469415264,9.770005651,2.018465892,2.000717644,3.778668438,2.411445813,2.310076505,5.257932955,7.992403621,6.970031996,12.64061676,10.60441658,9.683772554,4.120742525,7.723644649,7.988053283,8.4209468,11.30218518,8.869724653,8.472016414
7.141213948,6.30792361,8.171502652,2.24539277,8.002354748,4.359960927,6.854794236,9.125623453,2.675577972,7.770667022,5.515011017,5.032302706,2.696796255,8.54950916,3.108890592,7.518662985,7.115344719,5.329954201,7.583114665,8.581349662,8.275337048,4.892940567,8.507544058,6.801529405,7.153277103,3.045024398,5.915206196,7.385843928,7.960419515,6.973583537,5.702820068,7.457614346,5.6448066,6.372530382,9.511835921,6.363684292,2.454748962,4.700736752,5.329202023,5.968693169,5.823578237,6.373512612,6.829954598,3.85372343,7.484734521,2.445172685,5.742858841,6.739980174,4.359015773,6.227407923,4.409482143,4.099624755,6.189813878,6.97035253,6.345507932,5.625314916,4.59569339,7.704344942,5.230991298,5.411885382,5.059799676,8.103398139,8.369924764,7.596436396,7.596436396,3.222545798,7.806198207,5.299881008,3.210015429,10.05599483,9.369173689,6.651702988,4.835739551,3.118135645,4.405309183,7.128208844,7.433473552,10.29636,6.108192815,4.688837188,5.735925104,3.129198725,1.977773791,7.516984366,1.93378553,4.350733362,3.776504702,6.324847287,5.194891391,10.41926489,3.801367418,3.903806827,5.529508042,4.372040053,3.712692707,6.470540649,8.91431786,6.811935993,12.34391476,11.77340059,10.35471085,4.596830709,8.296488699,8.499358228,8.967046763,9.788608967,10.61773249,8.843826386
11.38452663,4.286160816,11.33943709,2.960588056,7.832238525,10.9136471,8.628330517,7.920137091,10.54082802,6.941707954,6.23953277,5.004875004,3.155825984,8.717962302,9.132589806,7.036482429,6.77857761,6.594041427,7.722790356,10.10726933,8.972533164,5.424366551,11.71532979,5.693580623,6.008124637,7.780954735,4.756617426,7.441031239,6.339653374,9.640356999,3.630284086,7.311702494,5.382394812,9.220262303,10.99599672,8.921300259,9.870145243,5.522637524,6.747135899,6.062355953,4.536320212,5.581819641,7.063107673,4.753077196,5.825184704,5.840875445,4.272004809,7.69147743,3.407514733,7.353598597,7.094188346,4.548176039,7.340215949,7.997703384,4.395868701,4.048891611,3.340345696,7.57504582,6.230344319,5.632856188,4.967700155,11.71364337,7.637190604,7.797555923,7.797555923,4.250211234,11.53304514,4.754991604,10.98271433,8.910922994,9.033954787,6.296062479,3.739615728,3.13802501,3.242233635,6.705116131,6.869306632,10.17999843,5.279235413,5.330161486,5.276520812,5.626532606,2.136638856,7.267717924,9.630028322,3.817760001,4.477315127,5.156088925,4.525242823,10.10529355,3.346874613,3.14375563,5.812711914,3.564478964,3.492756742,6.704730604,8.092083439,6.614303236,9.217880585,6.844552592,6.636237826,2.067930956,6.916874696,5.457003198,8.167455862,6.351523042,8.352549478,5.774398199
8.260781775,9.635551672,7.268865552,4.043873307,6.976191982,3.102837224,9.806143205,6.322202062,3.575096303,6.470814226,6.554928732,4.21369889,3.761543385,6.937172763,2.89616458,4.681207812,4.859798734,3.658565224,6.224528275,2.411070642,8.612308389,3.652384032,12.00449286,4.802617105,4.494404082,5.289394502,5.495554581,5.998464532,4.871378443,4.759854778,3.579886676,5.128338952,3.262848309,4.867637602,12.05115252,8.443552307,3.47962166,3.61235414,4.694297574,3.741257164,3.014433737,7.756218413,4.870762693,6.341339826,4.93565002,2.692898874,3.2565087,4.620955306,2.6629883,4.893686029,4.583861391,3.122260287,4.956054428,4.209517936,2.576707931,3.010138338,3.942273329,5.715320202,4.316309463,4.117456819,2.820071362,8.86922669,6.372351362,7.583666308,7.583666308,2.843405236,6.979713951,3.835560285,3.933110789,8.817592827,7.699457615,4.661523422,2.336727011,3.156049365,3.066662096,5.139708679,6.095004907,10.33989955,5.280049196,5.256245707,3.91458632,3.180623762,2.472631459,7.764666803,1.976980951,2.837694545,2.690315723,3.839717598,3.464199977,9.287990309,2.522718741,2.836381401,3.881797712,4.290830481,3.048680861,4.763299523,5.494303634,5.547892447,8.47732485,9.282748461,7.448236233,3.374133981,6.648437836,6.068043018,9.282103263,7.126556972,9.062598084,6.497952003
6.224835437,1.881510152,7.013048145,2.607232588,5.216274022,2.400619314,5.315103033,4.527750141,2.834821603,3.935337794,2.643486377,2.513964723,1.840351404,4.447135243,3.049974122,3.308329485,3.417749837,2.558826624,4.815031842,2.077695628,4.972168362,1.952683917,9.41479381,3.238294965,3.045435132,2.903366293,3.604375724,5.813646406,4.360067501,4.150270908,2.523885011,4.790582563,1.982237415,5.875186172,7.751039811,6.942733672,2.551369539,3.316062591,4.086533171,2.924884891,2.027617935,3.633073092,3.631910548,4.707194021,4.139158979,1.837527674,2.5836151,4.065110545,2.175419476,3.925510277,5.933063658,2.359133321,3.405191687,3.022087736,3.739652876,2.62478301,2.379483508,3.752709006,3.265456855,3.011840647,2.865921994,8.240701667,6.354765161,7.976590784,7.976590784,2.282197008,6.465835047,2.228807545,3.347367143,8.959886106,7.792206129,5.895644202,2.033856671,2.202921828,2.745198601,4.58241839,5.862279227,9.481544649,4.256088507,3.850064387,3.679615243,3.072618904,1.507278455,6.439706673,1.792871236,2.677134679,3.078667961,3.708060241,3.350507963,9.37908382,2.415190844,1.964750901,3.632468276,3.024535505,2.17458204,9.468258147,10.17465816,9.392241656,12.80201908,11.39802481,10.18807633,2.913527253,9.008494501,9.417216363,10.60788923,9.906203432,10.59328433,9.653913603
