,Comb,ACC,Sn,Sp,AUC
0,[43],0.85+-0.04,0.0+-0.0,0.99+-0.03,0.51+-0.22
1,"[43, 48]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.4+-0.2
2,"[43, 48, 64]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.71+-0.21
3,"[43, 48, 64, 5]",0.85+-0.04,0.03+-0.09,0.98+-0.03,0.63+-0.23
4,"[43, 48, 64, 5, 8]",0.85+-0.05,0.05+-0.12,0.98+-0.05,0.72+-0.18
5,"[43, 48, 64, 5, 8, 39]",0.85+-0.03,0.04+-0.11,0.99+-0.03,0.71+-0.22
6,"[43, 48, 64, 5, 8, 39, 54]",0.85+-0.03,0.0+-0.0,0.99+-0.03,0.71+-0.22
7,"[43, 48, 64, 5, 8, 39, 54, 65]",0.86+-0.03,0.0+-0.0,1.0+-0.02,0.7+-0.17
8,"[43, 48, 64, 5, 8, 39, 54, 65, 82]",0.86+-0.03,0.0+-0.0,1.0+-0.02,0.68+-0.2
9,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84]",0.86+-0.02,0.0+-0.0,1.0+-0.01,0.66+-0.22
10,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91]",0.85+-0.03,0.0+-0.0,0.99+-0.03,0.63+-0.21
11,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.69+-0.19
12,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17]",0.86+-0.03,0.01+-0.07,1.0+-0.02,0.71+-0.17
13,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.69+-0.16
14,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35]",0.86+-0.02,0.0+-0.0,1.0+-0.01,0.66+-0.19
15,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45]",0.86+-0.02,0.0+-0.0,1.0+-0.01,0.67+-0.21
16,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.61+-0.22
17,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.67+-0.17
18,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69]",0.86+-0.02,0.0+-0.0,1.0+-0.01,0.66+-0.21
19,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72]",0.86+-0.02,0.01+-0.07,1.0+-0.02,0.65+-0.13
20,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.58+-0.26
21,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.58+-0.25
22,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106]",0.86+-0.02,0.0+-0.0,1.0+-0.01,0.67+-0.19
23,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.71+-0.19
24,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1]",0.85+-0.03,0.0+-0.0,0.99+-0.03,0.71+-0.17
25,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.66+-0.24
26,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4]",0.86+-0.02,0.01+-0.07,1.0+-0.0,0.72+-0.15
27,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7]",0.86+-0.02,0.01+-0.07,1.0+-0.0,0.69+-0.17
28,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9]",0.86+-0.02,0.0+-0.0,1.0+-0.01,0.66+-0.22
29,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14]",0.86+-0.02,0.0+-0.0,1.0+-0.01,0.66+-0.2
30,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.65+-0.21
31,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18]",0.86+-0.02,0.0+-0.0,1.0+-0.01,0.69+-0.14
32,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21]",0.86+-0.02,0.0+-0.0,1.0+-0.02,0.69+-0.2
33,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.67+-0.18
34,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23]",0.86+-0.02,0.0+-0.0,1.0+-0.02,0.69+-0.17
35,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30]",0.86+-0.02,0.03+-0.09,1.0+-0.01,0.68+-0.18
36,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33]",0.86+-0.02,0.01+-0.07,1.0+-0.0,0.64+-0.19
37,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46]",0.86+-0.02,0.0+-0.0,1.0+-0.01,0.66+-0.23
38,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47]",0.86+-0.02,0.0+-0.0,1.0+-0.01,0.66+-0.2
39,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.63+-0.19
40,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57]",0.86+-0.03,0.0+-0.0,1.0+-0.02,0.64+-0.18
41,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60]",0.86+-0.02,0.0+-0.0,1.0+-0.01,0.64+-0.18
42,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60, 61]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.65+-0.22
