,Comb,ACC,Sn,Sp,AUC
0,[43],0.88+-0.06,0.53+-0.24,0.93+-0.05,0.78+-0.17
1,"[43, 48]",0.89+-0.06,0.55+-0.26,0.95+-0.07,0.74+-0.18
2,"[43, 48, 64]",0.91+-0.05,0.6+-0.26,0.96+-0.05,0.82+-0.17
3,"[43, 48, 64, 5]",0.88+-0.07,0.49+-0.31,0.94+-0.06,0.77+-0.17
4,"[43, 48, 64, 5, 8]",0.89+-0.06,0.47+-0.28,0.96+-0.05,0.72+-0.19
5,"[43, 48, 64, 5, 8, 39]",0.9+-0.06,0.55+-0.29,0.96+-0.05,0.78+-0.18
6,"[43, 48, 64, 5, 8, 39, 54]",0.9+-0.06,0.5+-0.31,0.96+-0.06,0.79+-0.18
7,"[43, 48, 64, 5, 8, 39, 54, 65]",0.89+-0.06,0.54+-0.26,0.95+-0.05,0.73+-0.19
8,"[43, 48, 64, 5, 8, 39, 54, 65, 82]",0.89+-0.06,0.51+-0.27,0.95+-0.05,0.77+-0.16
9,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84]",0.89+-0.05,0.5+-0.26,0.96+-0.05,0.81+-0.15
10,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91]",0.9+-0.05,0.54+-0.28,0.96+-0.05,0.86+-0.14
11,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92]",0.92+-0.04,0.61+-0.17,0.97+-0.04,0.91+-0.11
12,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17]",0.9+-0.07,0.51+-0.35,0.96+-0.06,0.85+-0.19
13,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32]",0.9+-0.06,0.56+-0.3,0.96+-0.05,0.88+-0.12
14,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35]",0.89+-0.08,0.58+-0.31,0.94+-0.06,0.8+-0.22
15,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45]",0.9+-0.07,0.5+-0.34,0.96+-0.05,0.85+-0.16
16,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50]",0.9+-0.06,0.56+-0.19,0.96+-0.06,0.85+-0.15
17,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66]",0.9+-0.06,0.59+-0.3,0.95+-0.05,0.86+-0.15
18,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69]",0.89+-0.08,0.53+-0.27,0.95+-0.06,0.8+-0.2
19,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72]",0.9+-0.06,0.61+-0.3,0.95+-0.06,0.87+-0.17
20,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93]",0.89+-0.07,0.45+-0.32,0.96+-0.05,0.81+-0.21
21,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95]",0.9+-0.06,0.55+-0.31,0.96+-0.05,0.87+-0.1
22,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106]",0.91+-0.06,0.55+-0.24,0.96+-0.05,0.85+-0.15
23,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0]",0.9+-0.07,0.55+-0.29,0.95+-0.06,0.84+-0.19
24,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1]",0.89+-0.08,0.57+-0.25,0.94+-0.08,0.84+-0.14
