,Comb,ACC,Sn,Sp,AUC
0,[43],0.87+-0.06,0.47+-0.28,0.94+-0.06,0.71+-0.19
1,"[43, 48]",0.89+-0.05,0.49+-0.26,0.96+-0.06,0.85+-0.13
2,"[43, 48, 64]",0.89+-0.06,0.48+-0.31,0.96+-0.05,0.76+-0.24
3,"[43, 48, 64, 5]",0.88+-0.06,0.47+-0.31,0.95+-0.06,0.88+-0.1
4,"[43, 48, 64, 5, 8]",0.89+-0.05,0.44+-0.19,0.96+-0.05,0.89+-0.08
5,"[43, 48, 64, 5, 8, 39]",0.89+-0.05,0.39+-0.29,0.97+-0.04,0.9+-0.1
6,"[43, 48, 64, 5, 8, 39, 54]",0.88+-0.04,0.34+-0.21,0.97+-0.03,0.88+-0.1
7,"[43, 48, 64, 5, 8, 39, 54, 65]",0.88+-0.05,0.34+-0.25,0.97+-0.04,0.87+-0.12
8,"[43, 48, 64, 5, 8, 39, 54, 65, 82]",0.88+-0.05,0.33+-0.31,0.97+-0.03,0.84+-0.13
9,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84]",0.89+-0.04,0.37+-0.27,0.97+-0.04,0.91+-0.11
10,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91]",0.88+-0.04,0.32+-0.32,0.97+-0.03,0.91+-0.1
11,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92]",0.89+-0.05,0.28+-0.27,0.99+-0.03,0.92+-0.08
12,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17]",0.88+-0.04,0.27+-0.28,0.98+-0.04,0.9+-0.09
13,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32]",0.87+-0.05,0.27+-0.25,0.97+-0.04,0.92+-0.08
14,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35]",0.88+-0.04,0.24+-0.27,0.99+-0.02,0.9+-0.09
15,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45]",0.88+-0.04,0.32+-0.29,0.97+-0.04,0.91+-0.07
16,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50]",0.88+-0.05,0.31+-0.28,0.98+-0.03,0.91+-0.1
17,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66]",0.87+-0.05,0.23+-0.28,0.98+-0.04,0.92+-0.08
18,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69]",0.88+-0.05,0.26+-0.27,0.98+-0.04,0.91+-0.09
19,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72]",0.87+-0.03,0.18+-0.22,0.98+-0.03,0.89+-0.09
20,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93]",0.87+-0.05,0.25+-0.25,0.98+-0.03,0.9+-0.1
21,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95]",0.87+-0.05,0.19+-0.24,0.98+-0.05,0.88+-0.11
22,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106]",0.87+-0.04,0.22+-0.21,0.98+-0.03,0.89+-0.08
23,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0]",0.87+-0.03,0.19+-0.2,0.99+-0.03,0.89+-0.11
24,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1]",0.88+-0.04,0.25+-0.2,0.98+-0.03,0.91+-0.07
25,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2]",0.88+-0.03,0.27+-0.23,0.98+-0.03,0.9+-0.1
26,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4]",0.88+-0.04,0.27+-0.26,0.98+-0.03,0.91+-0.08
27,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7]",0.88+-0.04,0.27+-0.27,0.98+-0.04,0.91+-0.08
