,Comb,ACC,Sn,Sp,AUC
0,[43],0.88+-0.09,0.55+-0.28,0.93+-0.07,0.77+-0.15
1,"[43, 48]",0.89+-0.06,0.57+-0.26,0.94+-0.06,0.76+-0.19
2,"[43, 48, 64]",0.91+-0.04,0.61+-0.23,0.96+-0.04,0.82+-0.16
3,"[43, 48, 64, 5]",0.88+-0.07,0.49+-0.33,0.95+-0.06,0.75+-0.21
4,"[43, 48, 64, 5, 8]",0.88+-0.07,0.46+-0.35,0.95+-0.06,0.73+-0.22
5,"[43, 48, 64, 5, 8, 39]",0.9+-0.05,0.55+-0.3,0.96+-0.04,0.76+-0.2
6,"[43, 48, 64, 5, 8, 39, 54]",0.89+-0.05,0.5+-0.35,0.95+-0.05,0.81+-0.16
7,"[43, 48, 64, 5, 8, 39, 54, 65]",0.9+-0.05,0.54+-0.26,0.96+-0.05,0.78+-0.19
8,"[43, 48, 64, 5, 8, 39, 54, 65, 82]",0.89+-0.04,0.49+-0.28,0.95+-0.04,0.75+-0.18
9,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84]",0.9+-0.07,0.58+-0.31,0.95+-0.06,0.84+-0.2
10,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91]",0.9+-0.06,0.57+-0.27,0.96+-0.05,0.86+-0.17
11,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92]",0.9+-0.06,0.53+-0.34,0.96+-0.05,0.88+-0.13
12,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17]",0.9+-0.07,0.53+-0.32,0.96+-0.05,0.84+-0.18
13,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32]",0.91+-0.06,0.57+-0.31,0.96+-0.06,0.88+-0.13
14,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35]",0.91+-0.06,0.63+-0.29,0.96+-0.06,0.88+-0.14
15,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45]",0.88+-0.07,0.55+-0.26,0.94+-0.07,0.85+-0.14
16,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50]",0.89+-0.07,0.53+-0.33,0.95+-0.06,0.87+-0.19
17,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66]",0.9+-0.06,0.57+-0.27,0.96+-0.05,0.86+-0.15
18,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69]",0.89+-0.07,0.55+-0.33,0.95+-0.05,0.86+-0.13
19,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72]",0.9+-0.05,0.55+-0.26,0.95+-0.04,0.91+-0.11
20,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93]",0.89+-0.07,0.51+-0.34,0.96+-0.06,0.87+-0.15
21,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95]",0.89+-0.06,0.49+-0.3,0.96+-0.06,0.81+-0.19
22,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106]",0.89+-0.08,0.51+-0.35,0.96+-0.06,0.83+-0.18
23,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0]",0.89+-0.06,0.51+-0.36,0.96+-0.06,0.83+-0.17
24,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1]",0.88+-0.08,0.45+-0.3,0.95+-0.07,0.82+-0.2
25,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2]",0.88+-0.07,0.46+-0.33,0.96+-0.08,0.84+-0.16
26,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4]",0.92+-0.05,0.57+-0.31,0.97+-0.04,0.86+-0.2
27,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7]",0.89+-0.06,0.48+-0.28,0.96+-0.06,0.79+-0.2
28,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9]",0.91+-0.05,0.57+-0.27,0.96+-0.05,0.87+-0.14
29,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14]",0.89+-0.07,0.54+-0.28,0.95+-0.07,0.83+-0.18
30,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16]",0.91+-0.05,0.53+-0.25,0.97+-0.04,0.85+-0.15
31,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18]",0.91+-0.06,0.57+-0.28,0.96+-0.06,0.9+-0.11
32,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21]",0.9+-0.09,0.62+-0.29,0.95+-0.07,0.86+-0.18
