,Comb,ACC,Sn,Sp,AUC
0,[43],0.8+-0.19,0.25+-0.32,0.89+-0.26,0.67+-0.15
1,"[43, 48]",0.86+-0.05,0.27+-0.33,0.96+-0.09,0.83+-0.13
2,"[43, 48, 64]",0.85+-0.09,0.4+-0.4,0.93+-0.13,0.81+-0.15
3,"[43, 48, 64, 5]",0.85+-0.08,0.45+-0.35,0.91+-0.12,0.82+-0.16
4,"[43, 48, 64, 5, 8]",0.86+-0.07,0.25+-0.3,0.95+-0.1,0.8+-0.17
5,"[43, 48, 64, 5, 8, 39]",0.84+-0.15,0.48+-0.33,0.9+-0.19,0.83+-0.15
6,"[43, 48, 64, 5, 8, 39, 54]",0.84+-0.12,0.35+-0.34,0.92+-0.16,0.81+-0.16
7,"[43, 48, 64, 5, 8, 39, 54, 65]",0.83+-0.08,0.39+-0.35,0.91+-0.12,0.79+-0.18
8,"[43, 48, 64, 5, 8, 39, 54, 65, 82]",0.84+-0.08,0.3+-0.35,0.93+-0.12,0.8+-0.15
9,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84]",0.81+-0.12,0.3+-0.35,0.9+-0.18,0.75+-0.16
10,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91]",0.83+-0.1,0.33+-0.29,0.92+-0.13,0.76+-0.19
11,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92]",0.85+-0.09,0.43+-0.37,0.92+-0.12,0.8+-0.17
12,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17]",0.86+-0.06,0.45+-0.35,0.93+-0.09,0.78+-0.19
13,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32]",0.84+-0.1,0.27+-0.29,0.93+-0.14,0.78+-0.15
14,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35]",0.84+-0.07,0.45+-0.35,0.91+-0.12,0.79+-0.2
15,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45]",0.84+-0.07,0.37+-0.38,0.91+-0.1,0.76+-0.19
16,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50]",0.84+-0.04,0.27+-0.34,0.94+-0.08,0.79+-0.18
17,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66]",0.82+-0.09,0.47+-0.33,0.88+-0.13,0.78+-0.15
18,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69]",0.83+-0.09,0.35+-0.31,0.91+-0.14,0.8+-0.13
19,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72]",0.85+-0.06,0.35+-0.38,0.93+-0.1,0.77+-0.17
20,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93]",0.87+-0.07,0.35+-0.33,0.96+-0.09,0.81+-0.18
21,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95]",0.83+-0.1,0.37+-0.39,0.91+-0.15,0.8+-0.15
22,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106]",0.84+-0.09,0.34+-0.33,0.92+-0.12,0.8+-0.17
23,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0]",0.85+-0.06,0.31+-0.37,0.94+-0.09,0.78+-0.16
24,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1]",0.86+-0.06,0.41+-0.3,0.93+-0.08,0.78+-0.14
25,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2]",0.84+-0.1,0.39+-0.33,0.91+-0.11,0.79+-0.12
26,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4]",0.85+-0.09,0.43+-0.42,0.92+-0.12,0.83+-0.14
27,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7]",0.83+-0.1,0.42+-0.36,0.9+-0.15,0.82+-0.14
28,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9]",0.85+-0.09,0.45+-0.38,0.92+-0.12,0.81+-0.14
29,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14]",0.82+-0.09,0.46+-0.33,0.89+-0.13,0.83+-0.11
30,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16]",0.85+-0.09,0.41+-0.35,0.92+-0.12,0.78+-0.17
31,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18]",0.86+-0.06,0.27+-0.29,0.96+-0.1,0.82+-0.13
32,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21]",0.85+-0.07,0.33+-0.31,0.93+-0.1,0.81+-0.14
33,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22]",0.84+-0.09,0.45+-0.33,0.91+-0.12,0.8+-0.12
34,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23]",0.84+-0.06,0.45+-0.35,0.91+-0.09,0.81+-0.14
35,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30]",0.81+-0.11,0.47+-0.34,0.87+-0.14,0.79+-0.17
36,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33]",0.87+-0.04,0.31+-0.27,0.96+-0.06,0.8+-0.14
37,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46]",0.85+-0.07,0.43+-0.33,0.92+-0.09,0.8+-0.14
38,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47]",0.87+-0.07,0.47+-0.36,0.94+-0.1,0.82+-0.13
39,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56]",0.84+-0.07,0.44+-0.38,0.9+-0.1,0.81+-0.18
40,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57]",0.8+-0.11,0.39+-0.44,0.88+-0.17,0.82+-0.15
41,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60]",0.84+-0.08,0.43+-0.38,0.91+-0.11,0.83+-0.12
42,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60, 61]",0.82+-0.12,0.37+-0.38,0.9+-0.16,0.77+-0.13
43,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60, 61, 76]",0.87+-0.06,0.47+-0.37,0.94+-0.07,0.83+-0.14
44,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60, 61, 76, 83]",0.87+-0.04,0.29+-0.31,0.97+-0.05,0.8+-0.13
45,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60, 61, 76, 83, 90]",0.85+-0.09,0.49+-0.33,0.91+-0.11,0.81+-0.17
46,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60, 61, 76, 83, 90, 94]",0.81+-0.13,0.36+-0.35,0.89+-0.16,0.79+-0.17
47,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60, 61, 76, 83, 90, 94, 99]",0.85+-0.09,0.4+-0.42,0.92+-0.11,0.81+-0.14
48,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60, 61, 76, 83, 90, 94, 99, 104]",0.83+-0.12,0.42+-0.3,0.9+-0.17,0.82+-0.11
49,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60, 61, 76, 83, 90, 94, 99, 104, 6]",0.87+-0.07,0.4+-0.33,0.95+-0.08,0.81+-0.15
50,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60, 61, 76, 83, 90, 94, 99, 104, 6, 10]",0.85+-0.08,0.45+-0.35,0.92+-0.1,0.79+-0.15
51,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60, 61, 76, 83, 90, 94, 99, 104, 6, 10, 11]",0.84+-0.07,0.45+-0.34,0.9+-0.1,0.8+-0.13
52,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60, 61, 76, 83, 90, 94, 99, 104, 6, 10, 11, 19]",0.83+-0.11,0.42+-0.38,0.9+-0.16,0.8+-0.18
53,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60, 61, 76, 83, 90, 94, 99, 104, 6, 10, 11, 19, 34]",0.81+-0.14,0.49+-0.35,0.86+-0.18,0.82+-0.15
54,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60, 61, 76, 83, 90, 94, 99, 104, 6, 10, 11, 19, 34, 37]",0.82+-0.11,0.37+-0.37,0.89+-0.15,0.81+-0.18
55,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60, 61, 76, 83, 90, 94, 99, 104, 6, 10, 11, 19, 34, 37, 38]",0.83+-0.12,0.44+-0.37,0.9+-0.17,0.8+-0.17
56,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60, 61, 76, 83, 90, 94, 99, 104, 6, 10, 11, 19, 34, 37, 38, 42]",0.86+-0.09,0.36+-0.3,0.94+-0.11,0.83+-0.11
57,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60, 61, 76, 83, 90, 94, 99, 104, 6, 10, 11, 19, 34, 37, 38, 42, 49]",0.83+-0.1,0.45+-0.37,0.9+-0.11,0.8+-0.15
58,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60, 61, 76, 83, 90, 94, 99, 104, 6, 10, 11, 19, 34, 37, 38, 42, 49, 55]",0.81+-0.12,0.51+-0.38,0.86+-0.16,0.8+-0.14
59,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18, 21, 22, 23, 30, 33, 46, 47, 56, 57, 60, 61, 76, 83, 90, 94, 99, 104, 6, 10, 11, 19, 34, 37, 38, 42, 49, 55, 58]",0.85+-0.05,0.27+-0.34,0.95+-0.08,0.77+-0.15
