,Comb,ACC,Sn,Sp,AUC
0,[43],0.88+-0.05,0.31+-0.26,0.97+-0.05,0.7+-0.21
1,"[43, 48]",0.9+-0.06,0.44+-0.31,0.97+-0.03,0.86+-0.14
2,"[43, 48, 64]",0.88+-0.03,0.23+-0.23,0.98+-0.03,0.79+-0.15
3,"[43, 48, 64, 5]",0.89+-0.05,0.4+-0.24,0.97+-0.04,0.9+-0.08
4,"[43, 48, 64, 5, 8]",0.88+-0.04,0.29+-0.2,0.98+-0.03,0.87+-0.09
5,"[43, 48, 64, 5, 8, 39]",0.88+-0.04,0.29+-0.25,0.97+-0.04,0.85+-0.1
6,"[43, 48, 64, 5, 8, 39, 54]",0.88+-0.05,0.29+-0.22,0.98+-0.03,0.83+-0.14
7,"[43, 48, 64, 5, 8, 39, 54, 65]",0.88+-0.04,0.21+-0.27,0.99+-0.02,0.86+-0.11
8,"[43, 48, 64, 5, 8, 39, 54, 65, 82]",0.88+-0.04,0.3+-0.33,0.98+-0.03,0.83+-0.17
9,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84]",0.89+-0.03,0.25+-0.23,0.99+-0.02,0.92+-0.07
10,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91]",0.88+-0.05,0.21+-0.25,0.99+-0.03,0.89+-0.15
11,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92]",0.88+-0.04,0.22+-0.3,0.99+-0.02,0.89+-0.11
12,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17]",0.89+-0.04,0.29+-0.26,0.99+-0.03,0.89+-0.1
13,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32]",0.88+-0.04,0.19+-0.26,0.99+-0.02,0.91+-0.07
14,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35]",0.88+-0.05,0.19+-0.33,1.0+-0.01,0.9+-0.08
15,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45]",0.89+-0.05,0.26+-0.32,1.0+-0.02,0.93+-0.07
16,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50]",0.89+-0.04,0.25+-0.23,0.99+-0.02,0.9+-0.09
17,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66]",0.88+-0.03,0.21+-0.22,0.99+-0.02,0.92+-0.06
18,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69]",0.87+-0.03,0.17+-0.19,0.99+-0.03,0.9+-0.09
19,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72]",0.88+-0.03,0.21+-0.29,0.99+-0.03,0.9+-0.09
20,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93]",0.87+-0.03,0.15+-0.19,0.98+-0.03,0.9+-0.09
21,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95]",0.86+-0.03,0.12+-0.18,0.98+-0.03,0.88+-0.13
22,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106]",0.87+-0.03,0.14+-0.19,0.99+-0.03,0.89+-0.09
23,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0]",0.88+-0.04,0.18+-0.22,0.99+-0.02,0.91+-0.07
24,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1]",0.87+-0.03,0.17+-0.2,0.99+-0.03,0.9+-0.08
25,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2]",0.88+-0.03,0.17+-0.21,1.0+-0.02,0.92+-0.08
26,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4]",0.88+-0.04,0.21+-0.19,0.99+-0.03,0.91+-0.07
27,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7]",0.87+-0.04,0.15+-0.25,0.99+-0.03,0.9+-0.1
28,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9]",0.88+-0.03,0.17+-0.21,0.99+-0.02,0.89+-0.09
29,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14]",0.88+-0.03,0.22+-0.21,0.99+-0.02,0.91+-0.09
30,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16]",0.89+-0.03,0.21+-0.2,1.0+-0.02,0.89+-0.1
31,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14, 16, 18]",0.88+-0.04,0.21+-0.27,1.0+-0.02,0.9+-0.09
