,Comb,ACC,Sn,Sp,AUC
0,[43],0.86+-0.06,0.12+-0.18,0.98+-0.08,0.68+-0.19
1,"[43, 48]",0.85+-0.09,0.39+-0.35,0.93+-0.12,0.82+-0.13
2,"[43, 48, 64]",0.85+-0.09,0.47+-0.32,0.92+-0.11,0.83+-0.16
3,"[43, 48, 64, 5]",0.84+-0.1,0.41+-0.38,0.91+-0.14,0.83+-0.15
4,"[43, 48, 64, 5, 8]",0.84+-0.1,0.45+-0.32,0.91+-0.14,0.82+-0.14
5,"[43, 48, 64, 5, 8, 39]",0.86+-0.07,0.29+-0.32,0.96+-0.09,0.82+-0.13
6,"[43, 48, 64, 5, 8, 39, 54]",0.84+-0.11,0.43+-0.32,0.91+-0.15,0.79+-0.16
7,"[43, 48, 64, 5, 8, 39, 54, 65]",0.83+-0.09,0.49+-0.38,0.89+-0.13,0.77+-0.17
8,"[43, 48, 64, 5, 8, 39, 54, 65, 82]",0.85+-0.05,0.4+-0.31,0.92+-0.1,0.79+-0.13
9,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84]",0.8+-0.09,0.41+-0.32,0.87+-0.14,0.77+-0.19
10,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91]",0.83+-0.1,0.26+-0.32,0.92+-0.15,0.78+-0.18
11,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92]",0.84+-0.08,0.35+-0.4,0.91+-0.12,0.8+-0.16
12,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17]",0.81+-0.16,0.49+-0.32,0.86+-0.22,0.78+-0.15
13,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32]",0.81+-0.14,0.51+-0.35,0.86+-0.19,0.79+-0.15
14,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35]",0.85+-0.05,0.28+-0.33,0.94+-0.08,0.76+-0.2
15,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45]",0.82+-0.07,0.37+-0.33,0.89+-0.1,0.76+-0.15
16,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50]",0.81+-0.13,0.39+-0.35,0.88+-0.18,0.77+-0.16
17,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66]",0.83+-0.09,0.44+-0.35,0.9+-0.12,0.79+-0.13
18,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69]",0.82+-0.1,0.39+-0.36,0.89+-0.16,0.81+-0.13
19,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72]",0.83+-0.08,0.42+-0.38,0.9+-0.1,0.8+-0.16
20,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93]",0.81+-0.13,0.4+-0.31,0.88+-0.18,0.78+-0.14
21,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95]",0.86+-0.08,0.35+-0.27,0.94+-0.1,0.81+-0.15
22,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106]",0.85+-0.07,0.42+-0.33,0.92+-0.1,0.78+-0.13
23,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0]",0.75+-0.2,0.48+-0.35,0.79+-0.26,0.73+-0.18
24,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1]",0.84+-0.11,0.43+-0.32,0.91+-0.15,0.81+-0.13
25,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2]",0.83+-0.08,0.48+-0.34,0.88+-0.13,0.82+-0.15
26,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4]",0.84+-0.09,0.47+-0.4,0.9+-0.12,0.83+-0.14
27,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7]",0.82+-0.11,0.47+-0.34,0.88+-0.15,0.82+-0.18
28,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9]",0.82+-0.13,0.33+-0.33,0.91+-0.18,0.8+-0.15
29,"[43, 48, 64, 5, 8, 39, 54, 65, 82, 84, 91, 92, 17, 32, 35, 45, 50, 66, 69, 72, 93, 95, 106, 0, 1, 2, 4, 7, 9, 14]",0.83+-0.11,0.41+-0.34,0.9+-0.14,0.8+-0.15
