,Comb,ACC,Sn,Sp,AUC
0,[48],0.82+-0.04,0.01+-0.07,0.95+-0.04,0.51+-0.18
1,"[48, 84]",0.85+-0.03,0.03+-0.09,0.98+-0.03,0.46+-0.21
2,"[48, 84, 7]",0.86+-0.02,0.07+-0.13,0.99+-0.02,0.43+-0.18
3,"[48, 84, 7, 41]",0.85+-0.04,0.07+-0.16,0.98+-0.04,0.47+-0.2
4,"[48, 84, 7, 41, 50]",0.85+-0.03,0.05+-0.13,0.98+-0.04,0.51+-0.2
5,"[48, 84, 7, 41, 50, 93]",0.86+-0.03,0.05+-0.13,0.99+-0.02,0.55+-0.23
6,"[48, 84, 7, 41, 50, 93, 28]",0.86+-0.04,0.09+-0.18,0.99+-0.02,0.55+-0.21
7,"[48, 84, 7, 41, 50, 93, 28, 92]",0.87+-0.04,0.12+-0.2,0.99+-0.02,0.54+-0.18
8,"[48, 84, 7, 41, 50, 93, 28, 92, 64]",0.87+-0.03,0.09+-0.16,1.0+-0.01,0.6+-0.19
9,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88]",0.88+-0.02,0.11+-0.16,1.0+-0.0,0.62+-0.21
10,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86]",0.87+-0.03,0.12+-0.18,1.0+-0.01,0.65+-0.15
11,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46]",0.87+-0.02,0.08+-0.14,1.0+-0.02,0.66+-0.18
12,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70]",0.87+-0.04,0.1+-0.18,1.0+-0.01,0.66+-0.13
13,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89]",0.88+-0.03,0.15+-0.18,1.0+-0.01,0.66+-0.13
14,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39]",0.87+-0.03,0.13+-0.24,0.99+-0.02,0.66+-0.19
15,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40]",0.88+-0.03,0.14+-0.22,1.0+-0.0,0.64+-0.22
16,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0]",0.88+-0.04,0.17+-0.22,1.0+-0.02,0.66+-0.19
17,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56]",0.88+-0.03,0.13+-0.19,1.0+-0.02,0.67+-0.17
18,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2]",0.87+-0.03,0.09+-0.18,1.0+-0.0,0.66+-0.2
19,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66]",0.87+-0.02,0.08+-0.14,1.0+-0.0,0.66+-0.24
20,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15]",0.87+-0.02,0.11+-0.18,1.0+-0.02,0.69+-0.17
21,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95]",0.87+-0.03,0.12+-0.18,1.0+-0.01,0.67+-0.15
22,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78]",0.87+-0.03,0.1+-0.16,1.0+-0.02,0.67+-0.17
23,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58]",0.87+-0.02,0.11+-0.16,1.0+-0.01,0.67+-0.19
24,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5]",0.87+-0.03,0.12+-0.23,1.0+-0.01,0.66+-0.2
25,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6]",0.87+-0.04,0.09+-0.17,1.0+-0.02,0.69+-0.15
26,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98]",0.88+-0.04,0.16+-0.21,1.0+-0.02,0.75+-0.16
27,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73]",0.88+-0.03,0.17+-0.23,1.0+-0.02,0.73+-0.16
28,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43]",0.88+-0.03,0.15+-0.18,1.0+-0.0,0.71+-0.18
29,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13]",0.88+-0.03,0.15+-0.21,1.0+-0.01,0.75+-0.18
30,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97]",0.87+-0.04,0.16+-0.27,0.99+-0.02,0.76+-0.19
31,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16]",0.87+-0.03,0.16+-0.19,0.99+-0.03,0.74+-0.16
32,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74]",0.88+-0.04,0.19+-0.23,0.99+-0.02,0.72+-0.18
33,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79]",0.88+-0.04,0.21+-0.26,1.0+-0.02,0.75+-0.15
34,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76]",0.88+-0.05,0.21+-0.27,1.0+-0.02,0.74+-0.19
