,Comb,ACC,Sn,Sp,AUC
0,[48],0.74+-0.08,0.07+-0.13,0.85+-0.08,0.48+-0.11
1,"[48, 84]",0.77+-0.07,0.04+-0.11,0.89+-0.07,0.46+-0.16
2,"[48, 84, 7]",0.76+-0.07,0.04+-0.11,0.88+-0.09,0.37+-0.16
3,"[48, 84, 7, 41]",0.75+-0.07,0.06+-0.14,0.86+-0.07,0.4+-0.13
4,"[48, 84, 7, 41, 50]",0.75+-0.08,0.08+-0.16,0.86+-0.09,0.37+-0.15
5,"[48, 84, 7, 41, 50, 93]",0.75+-0.07,0.09+-0.17,0.86+-0.07,0.43+-0.16
6,"[48, 84, 7, 41, 50, 93, 28]",0.77+-0.08,0.13+-0.23,0.88+-0.09,0.43+-0.21
7,"[48, 84, 7, 41, 50, 93, 28, 92]",0.75+-0.08,0.11+-0.19,0.85+-0.1,0.45+-0.13
8,"[48, 84, 7, 41, 50, 93, 28, 92, 64]",0.77+-0.08,0.14+-0.22,0.87+-0.08,0.45+-0.21
9,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88]",0.78+-0.07,0.15+-0.21,0.89+-0.07,0.56+-0.17
10,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86]",0.74+-0.09,0.11+-0.17,0.84+-0.11,0.51+-0.17
11,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46]",0.74+-0.09,0.12+-0.18,0.85+-0.08,0.52+-0.13
12,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70]",0.77+-0.08,0.17+-0.19,0.87+-0.09,0.5+-0.14
13,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89]",0.77+-0.07,0.19+-0.23,0.87+-0.07,0.52+-0.18
14,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39]",0.79+-0.07,0.17+-0.22,0.89+-0.08,0.5+-0.15
15,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40]",0.81+-0.06,0.26+-0.29,0.91+-0.06,0.57+-0.18
16,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0]",0.78+-0.08,0.22+-0.21,0.87+-0.1,0.54+-0.15
17,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56]",0.79+-0.1,0.21+-0.22,0.89+-0.11,0.52+-0.21
18,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2]",0.83+-0.05,0.25+-0.29,0.93+-0.05,0.63+-0.16
19,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66]",0.83+-0.06,0.19+-0.26,0.93+-0.07,0.64+-0.16
20,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15]",0.8+-0.07,0.23+-0.29,0.9+-0.08,0.6+-0.21
21,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95]",0.81+-0.08,0.25+-0.21,0.9+-0.09,0.57+-0.14
22,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78]",0.8+-0.06,0.26+-0.29,0.89+-0.07,0.64+-0.16
23,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58]",0.8+-0.08,0.2+-0.23,0.9+-0.08,0.58+-0.2
24,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5]",0.8+-0.08,0.21+-0.24,0.89+-0.09,0.57+-0.18
25,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6]",0.82+-0.07,0.27+-0.23,0.91+-0.07,0.64+-0.15
26,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98]",0.79+-0.06,0.16+-0.19,0.89+-0.07,0.56+-0.19
27,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73]",0.8+-0.08,0.21+-0.23,0.9+-0.09,0.58+-0.18
28,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43]",0.8+-0.08,0.24+-0.24,0.89+-0.09,0.59+-0.14
29,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13]",0.82+-0.07,0.27+-0.21,0.91+-0.07,0.58+-0.2
30,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97]",0.81+-0.08,0.3+-0.3,0.89+-0.09,0.62+-0.17
31,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16]",0.8+-0.08,0.21+-0.24,0.9+-0.09,0.59+-0.17
32,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74]",0.81+-0.07,0.27+-0.21,0.9+-0.07,0.61+-0.16
33,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79]",0.81+-0.08,0.29+-0.29,0.9+-0.07,0.62+-0.14
34,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76]",0.84+-0.06,0.31+-0.22,0.92+-0.06,0.61+-0.19
35,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67]",0.82+-0.06,0.26+-0.28,0.91+-0.06,0.62+-0.16
36,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67, 33]",0.81+-0.1,0.26+-0.2,0.9+-0.11,0.6+-0.14
37,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67, 33, 49]",0.81+-0.07,0.24+-0.27,0.9+-0.07,0.61+-0.16
38,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67, 33, 49, 61]",0.81+-0.05,0.2+-0.23,0.91+-0.07,0.61+-0.16
39,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67, 33, 49, 61, 17]",0.8+-0.07,0.18+-0.18,0.9+-0.08,0.57+-0.15
40,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67, 33, 49, 61, 17, 54]",0.8+-0.07,0.25+-0.26,0.89+-0.08,0.65+-0.14
41,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67, 33, 49, 61, 17, 54, 101]",0.79+-0.08,0.21+-0.26,0.88+-0.09,0.6+-0.16
42,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67, 33, 49, 61, 17, 54, 101, 23]",0.82+-0.05,0.25+-0.25,0.91+-0.08,0.64+-0.16
43,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67, 33, 49, 61, 17, 54, 101, 23, 3]",0.81+-0.07,0.22+-0.23,0.9+-0.07,0.63+-0.18
44,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67, 33, 49, 61, 17, 54, 101, 23, 3, 71]",0.8+-0.1,0.23+-0.21,0.89+-0.11,0.59+-0.16
45,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67, 33, 49, 61, 17, 54, 101, 23, 3, 71, 90]",0.81+-0.07,0.3+-0.27,0.9+-0.08,0.64+-0.16
46,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67, 33, 49, 61, 17, 54, 101, 23, 3, 71, 90, 38]",0.78+-0.09,0.25+-0.27,0.87+-0.09,0.62+-0.17
47,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67, 33, 49, 61, 17, 54, 101, 23, 3, 71, 90, 38, 32]",0.8+-0.07,0.27+-0.32,0.89+-0.07,0.65+-0.24
48,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67, 33, 49, 61, 17, 54, 101, 23, 3, 71, 90, 38, 32, 60]",0.8+-0.09,0.28+-0.33,0.89+-0.1,0.62+-0.21
49,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67, 33, 49, 61, 17, 54, 101, 23, 3, 71, 90, 38, 32, 60, 27]",0.78+-0.07,0.23+-0.27,0.87+-0.07,0.62+-0.15
50,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67, 33, 49, 61, 17, 54, 101, 23, 3, 71, 90, 38, 32, 60, 27, 18]",0.81+-0.08,0.28+-0.21,0.89+-0.08,0.59+-0.15
51,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67, 33, 49, 61, 17, 54, 101, 23, 3, 71, 90, 38, 32, 60, 27, 18, 52]",0.8+-0.09,0.25+-0.25,0.89+-0.08,0.63+-0.19
52,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67, 33, 49, 61, 17, 54, 101, 23, 3, 71, 90, 38, 32, 60, 27, 18, 52, 106]",0.78+-0.08,0.28+-0.2,0.87+-0.09,0.62+-0.15
