,Comb,ACC,Sn,Sp,AUC
0,[48],0.77+-0.07,0.15+-0.2,0.87+-0.08,0.48+-0.2
1,"[48, 84]",0.83+-0.04,0.04+-0.11,0.95+-0.05,0.46+-0.17
2,"[48, 84, 7]",0.85+-0.04,0.05+-0.12,0.98+-0.03,0.42+-0.14
3,"[48, 84, 7, 41]",0.82+-0.05,0.08+-0.16,0.94+-0.07,0.45+-0.18
4,"[48, 84, 7, 41, 50]",0.84+-0.05,0.06+-0.17,0.96+-0.05,0.5+-0.26
5,"[48, 84, 7, 41, 50, 93]",0.85+-0.03,0.05+-0.12,0.98+-0.04,0.51+-0.17
6,"[48, 84, 7, 41, 50, 93, 28]",0.86+-0.04,0.1+-0.19,0.98+-0.03,0.54+-0.19
7,"[48, 84, 7, 41, 50, 93, 28, 92]",0.87+-0.03,0.14+-0.17,0.99+-0.02,0.56+-0.14
8,"[48, 84, 7, 41, 50, 93, 28, 92, 64]",0.85+-0.04,0.13+-0.2,0.97+-0.04,0.6+-0.2
9,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88]",0.87+-0.04,0.19+-0.23,0.99+-0.02,0.64+-0.19
10,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86]",0.86+-0.04,0.12+-0.18,0.98+-0.03,0.63+-0.2
11,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46]",0.87+-0.04,0.15+-0.23,0.98+-0.03,0.63+-0.21
12,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70]",0.88+-0.03,0.18+-0.2,1.0+-0.02,0.62+-0.2
13,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89]",0.86+-0.04,0.13+-0.17,0.98+-0.03,0.6+-0.23
14,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39]",0.87+-0.04,0.13+-0.25,0.99+-0.02,0.6+-0.18
15,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40]",0.88+-0.03,0.19+-0.2,0.99+-0.02,0.6+-0.21
16,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0]",0.88+-0.04,0.23+-0.22,0.99+-0.02,0.62+-0.15
17,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56]",0.88+-0.04,0.23+-0.24,0.99+-0.02,0.63+-0.18
18,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2]",0.88+-0.03,0.17+-0.19,0.99+-0.02,0.65+-0.16
19,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66]",0.87+-0.03,0.15+-0.19,0.99+-0.03,0.67+-0.19
20,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15]",0.88+-0.03,0.17+-0.2,0.99+-0.02,0.68+-0.18
21,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95]",0.86+-0.03,0.12+-0.18,0.99+-0.02,0.7+-0.18
22,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78]",0.88+-0.04,0.22+-0.21,0.99+-0.02,0.68+-0.15
23,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58]",0.88+-0.03,0.14+-0.17,1.0+-0.01,0.66+-0.19
24,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5]",0.88+-0.03,0.2+-0.2,0.99+-0.02,0.7+-0.15
25,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6]",0.87+-0.04,0.2+-0.26,0.98+-0.04,0.71+-0.18
26,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98]",0.87+-0.04,0.17+-0.21,0.98+-0.03,0.72+-0.16
27,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73]",0.87+-0.05,0.17+-0.2,0.98+-0.04,0.67+-0.19
28,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43]",0.88+-0.04,0.21+-0.24,0.99+-0.02,0.71+-0.17
29,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13]",0.87+-0.04,0.19+-0.25,0.98+-0.03,0.72+-0.14
30,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97]",0.88+-0.04,0.23+-0.24,0.99+-0.03,0.75+-0.18
31,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16]",0.88+-0.04,0.19+-0.22,0.99+-0.03,0.72+-0.18
32,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74]",0.88+-0.03,0.23+-0.25,0.99+-0.02,0.73+-0.15
33,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79]",0.88+-0.04,0.23+-0.24,0.98+-0.04,0.73+-0.17
34,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76]",0.87+-0.04,0.2+-0.27,0.98+-0.03,0.73+-0.19
35,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67]",0.87+-0.04,0.22+-0.19,0.98+-0.04,0.72+-0.17
36,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67, 33]",0.88+-0.04,0.19+-0.22,0.99+-0.02,0.71+-0.18
37,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98, 73, 43, 13, 97, 16, 74, 79, 76, 67, 33, 49]",0.87+-0.05,0.23+-0.22,0.98+-0.05,0.72+-0.16
