,Comb,ACC,Sn,Sp,AUC
0,[48],0.86+-0.02,0.0+-0.0,1.0+-0.0,0.52+-0.2
1,"[48, 84]",0.85+-0.03,0.0+-0.0,0.99+-0.02,0.52+-0.24
2,"[48, 84, 7]",0.86+-0.03,0.03+-0.09,0.99+-0.02,0.55+-0.21
3,"[48, 84, 7, 41]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.45+-0.21
4,"[48, 84, 7, 41, 50]",0.86+-0.02,0.0+-0.0,1.0+-0.01,0.39+-0.25
5,"[48, 84, 7, 41, 50, 93]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.47+-0.22
6,"[48, 84, 7, 41, 50, 93, 28]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.48+-0.22
7,"[48, 84, 7, 41, 50, 93, 28, 92]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.42+-0.2
8,"[48, 84, 7, 41, 50, 93, 28, 92, 64]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.49+-0.23
9,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.57+-0.21
10,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.5+-0.21
11,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.5+-0.23
12,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.49+-0.2
13,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.46+-0.25
14,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.54+-0.17
15,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.41+-0.22
16,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0]",0.86+-0.03,0.02+-0.1,1.0+-0.0,0.61+-0.22
17,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56]",0.86+-0.02,0.01+-0.07,1.0+-0.0,0.54+-0.26
18,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.52+-0.24
19,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66]",0.86+-0.03,0.02+-0.1,1.0+-0.0,0.43+-0.21
20,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15]",0.86+-0.02,0.01+-0.07,1.0+-0.0,0.6+-0.19
21,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95]",0.86+-0.02,0.0+-0.0,1.0+-0.01,0.6+-0.17
22,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.61+-0.21
23,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.63+-0.17
24,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.51+-0.27
25,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.65+-0.21
26,"[48, 84, 7, 41, 50, 93, 28, 92, 64, 88, 86, 46, 70, 89, 39, 40, 0, 56, 2, 66, 15, 95, 78, 58, 5, 6, 98]",0.86+-0.02,0.0+-0.0,1.0+-0.0,0.53+-0.22
