,X,score
0,SLC39A8,0.01888928693779803
1,RHAG,0.0013551525179083719
2,DDIT4,0.017040062913195528
3,MPO,0.008356274425912188
4,RRM2,0.0020454545454545456
5,CCL3,0.013357137589538036
6,TGFBI,0.012765676342146398
7,MAFF,0.037935814870110385
8,TYMS,0.003962416003967416
9,ENPP2,0.005472755974002467
10,KIAA0101,0.0013942946588295427
11,TOP2A,0.0007518987341772154
12,KIF11,0.002202245904747596
13,PRG2,0.01143294970249757
14,CKS2,0.0021231477634676642
15,SLCO4A1,0.013966857078481311
16,ZWINT,0.010560388267010608
17,CCR2,0.00888192851904817
18,CCNB1,0.0071877123572085784
19,CEP55,0.002846785937174953
20,NUSAP1,0.004974317303488847
21,RGS1,0.0020029878496540263
22,PTTG1,0.0052244451079854525
23,PRC1,0.008535748617958633
24,CD24,0.003277431417375073
25,CCNB2,0.0006770652876535233
26,HMMR,0.004303666583945607
27,CPVL,0.007200734487065222
28,RGL1,0.02329824356642493
29,MLF1IP,0.0020439084191423143
30,FABP5,0.004396010118251164
31,MAD2L1,0.004994103418023568
32,CD69,0.007371868180081589
33,RGS2,0.009415893301151114
34,EMP1,0.004070170202058743
35,RACGAP1,0.0
36,FGL2,0.004829973210607024
37,TTK,0.001894483420950525
38,NME1,0.007616099742984654
39,TFRC,0.019839626835379518
40,CTSL1,0.01982906238446419
41,EBI3,0.029791317689687874
42,SHCBP1,0.0
43,CCRL2,0.011742173179432417
44,KIF14,0.003251299692579713
45,MELK,0.0016900512101315315
46,TFDP2,0.022191075164679323
47,MT1G,0.0023449390992352002
48,H1F0,0.05340919745432595
49,MCM4,0.009380433829968804
50,AREG,0.029590599662782678
51,NEK2,0.004838211770496315
52,MT1H,0.006806406639990977
53,TPX2,0.0013284181473739217
54,BTG3,0.00885111443170794
55,RAB13,0.005098612857161059
56,HSPA6,0.017702454620886144
57,CDC20,0.0020872071356452197
58,EMR3,0.013394203256759524
59,CASC5,0.004652544792488968
60,MT1E,0.0072536291265798865
61,SCD,0.009167674506013645
62,GINS2,0.003589931013414266
63,RCBTB2,0.00522485862557716
64,E2F8,0.022828131874479247
65,STAT4,0.003342021631132114
66,NUAK2,0.01515060033110201
67,CKS1B,0.00962481443601119
68,CCNE2,0.004256588924928032
69,RAD51AP1,0.002721535250249358
70,TNFAIP3,0.0205597254174457
71,CD302,0.008247757612567139
72,MCM6,0.000581826401446655
73,NDUFS5,0.0119118638880137
74,RPL10,0.010187393896247482
75,BUB1B,0.002039452092900982
76,MT1X,0.00966508772569413
77,CDKN3,0.0031887830780851175
78,NNMT,0.013511243534611757
79,COX6C,0.009796304716876746
80,LSM5,0.004225182509309807
81,PSMG1,0.00283454873637179
82,CENPA,0.000876623376623377
83,KIF4A,0.0027812499999999994
84,MANSC1,0.051180466278164465
85,MCM2,0.0038446834818993835
86,MT1F,0.022577891321677916
87,RPA3,0.004242785298078808
88,COX7B,0.022739303026086833
89,MYL6B,0.01988555444820757
90,PCNT,0.007742618936253292
91,ATAD2,0.0010476190476190479
92,SDC4,0.02285905886855016
93,WBP5,0.025700975921983112
94,TARS,0.0028121991519842984
95,CCL20,0.01352942317104254
96,CLEC7A,0.004785818200754686
97,RAD51,0.01118204292974944
98,JUN,0.012664528246895327
99,FEN1,0.001025520435446905
100,AURKA,0.005874823130971196
101,FRAT1,0.008570763201444329
102,SNRPG,0.005234238048262117
103,KIF2C,0.002397298413452764
104,POLE2,0.0
105,UBE2C,7.95182688125272e-05
106,AURKB,0.006725603813126266
107,CENPF,0.003256096521200028
