RHAG,DDIT4,MPO,CCL3,MAFF,TYMS,ENPP2,TOP2A,KIF11,PRG2,CEP55,NUSAP1,PTTG1,CD24,CCNB2,HMMR,MLF1IP,FABP5,CD69,EMP1,RACGAP1,TTK,NME1,TFRC,EBI3,CCRL2,KIF14,TFDP2,MT1G,H1F0,TPX2,BTG3,RAB13,CASC5,MT1E,E2F8,STAT4,CKS1B,CCNE2,TNFAIP3,MCM6,NDUFS5,RPL10,BUB1B,NNMT,KIF4A,COX7B,PCNT,WBP5,TARS,CCL20,JUN,FEN1,AURKA,SNRPG,UBE2C,CLEC7A,MANSC1,CD302,NUAK2,RCBTB2,FGL2,RGS2,CPVL,CCR2,TGFBI
4.112866123,8.046404961,2.32406938,3.140720641,8.578116355,5.230841969,3.862936581,3.746230509,2.530970745,2.067651712,3.285041299,5.008812861,5.988814431,9.83226499,3.962405871,3.752682072,3.577167733,4.31413865,6.826474414,2.695626052,4.787570348,3.964447138,4.838680255,8.58143006,2.508861518,8.113696425,3.559417822,4.714003468,5.303477307,5.363508105,2.106549341,4.18612836,6.676142417,3.670579922,4.316835786,2.845693369,5.99123973,4.126093602,4.217526283,9.657705122,6.736581229,7.669709921,7.669709921,2.386423344,4.178649481,2.389034902,10.07757118,3.791490521,3.185965597,7.208446921,2.14239511,3.209611316,4.062130241,3.009848673,9.787392842,4.787508461,9.525484794,8.732754007,8.44865847,7.988769654,8.358141768,11.81219243,8.859253303,5.722328694,7.817753971,4.143039212
1.48579474,8.971048989,5.258545794,2.811140867,4.715506687,7.567844895,3.212268256,7.422459388,4.117334994,2.336593528,5.662753504,7.177233157,7.688447437,10.31609372,6.315539077,4.633551399,4.590671115,5.83101658,4.930772604,4.270834502,6.249967536,3.045275893,5.386751779,7.358074912,2.663313696,3.458776647,4.901593622,4.26382143,4.241411099,5.765465548,4.047861771,4.200695412,6.692702656,4.115305717,3.077580379,4.063540839,3.535820344,3.581616202,3.365038216,8.413236554,7.182764233,7.977104559,7.977104559,3.476282311,3.34110797,3.597240669,9.873881825,4.386551622,2.202924764,7.389657161,1.931043797,3.534229271,4.65137953,4.084428599,9.877402613,5.049623229,8.528013013,10.46106088,8.094179463,7.69430879,7.057639091,9.30309344,10.36775933,6.251312613,8.707474712,4.977649946
1.925620192,8.712714119,1.856426825,5.947865929,9.109963393,6.066830336,3.086101254,3.334740259,2.988987681,2.078940385,2.544239062,5.557573004,5.945643968,8.76016497,4.46528591,3.458376032,3.443371999,7.091874344,6.331656489,2.866762763,5.268527875,3.169639453,5.07100367,8.94724668,5.866185771,9.098886226,3.502946331,4.083529167,7.201407225,4.583416783,2.208980018,6.033729723,6.267020298,4.577813981,5.848980291,2.80778638,6.153524349,4.386739372,3.43175573,11.33105507,6.879870798,7.507898651,7.507898651,3.167579358,6.008532581,2.743877584,10.28638015,4.041236837,2.201589841,5.916145944,2.098009015,3.757488617,3.554817,2.921563755,10.67318162,4.136698922,9.43954564,5.318823872,6.664948999,6.276276172,5.362375733,11.02765925,8.161037334,2.841639418,2.932313234,4.036439637
5.888388141,8.527441199,5.750054514,5.134265553,5.156271413,8.057016111,2.684719201,7.644870195,5.210966634,3.299122398,6.208865612,7.168168705,8.887465564,11.34419084,6.072688115,5.973117807,5.305957925,5.31893206,5.296090321,2.560823151,6.627152552,5.750825265,5.852333825,8.544909209,3.864617615,4.423292496,5.819608174,4.692275763,4.26502213,4.760028042,3.928900931,5.254950096,7.020148236,6.854404382,4.373830263,3.774392499,4.061213592,5.079704967,4.888341785,9.086531195,7.099397211,6.372151261,6.372151261,3.782745213,3.222885511,3.105941747,8.944653708,3.700383374,2.330943265,6.917577458,2.120159507,3.585488582,5.330525663,4.034944243,9.025149088,5.8467442,8.263512765,9.741524296,9.473646108,7.701586515,6.420084338,9.271985431,9.948186848,6.095364869,8.859345914,4.616063524
4.846311624,9.301228733,8.695506972,6.555199012,8.041716264,9.81344802,7.125344345,7.35557009,6.326331889,4.351770909,6.500002712,8.756859304,8.786446082,9.612260136,7.651590018,6.876951753,7.515439581,8.589992388,6.130110807,8.35676063,8.631739322,6.035094458,8.615081339,9.504080056,2.739924036,4.934393284,5.682475955,5.754750317,9.007118168,6.167289183,5.698980469,5.225269206,6.661985763,5.392611391,8.247823848,5.46199303,3.964955494,6.355877126,5.410639286,8.922553857,9.341632769,8.703223844,8.703223844,5.164460639,3.174917731,4.916441225,10.19197801,7.405363379,2.325558557,8.25023456,1.947446481,5.497424944,6.78336642,6.314856764,10.32884794,6.864788538,9.555133928,8.207967551,6.593450728,8.225254085,7.090538905,10.653802,8.848569855,4.970816222,5.720991965,6.542890101
2.539780676,9.449671821,2.831685756,4.161565401,4.928000633,2.872455646,2.345908073,3.132813968,1.756543847,1.899006167,2.370370578,3.951131239,3.816523427,8.537431911,2.71638579,2.86428557,4.073837019,4.046847082,6.140406317,3.620765492,5.104194087,2.377884553,5.054775663,8.033917621,2.131790988,2.994764341,3.303680993,4.096487982,3.75520722,3.202460382,1.765773482,4.15184417,6.597641394,3.007142386,2.706655261,1.980476975,4.279385083,3.459484343,3.737757697,9.248419167,6.598893244,8.790391197,8.790391197,1.408310836,3.085236414,2.51197427,10.1838874,3.750453153,2.215586209,7.398864337,2.056711479,3.079038769,3.511515817,2.469415264,9.770005651,3.778668438,8.869724653,11.30218518,8.4209468,7.988053283,7.723644649,10.60441658,12.64061676,6.970031996,7.992403621,5.257932955
6.30792361,8.171502652,2.24539277,4.359960927,6.854794236,9.125623453,2.675577972,5.515011017,5.032302706,2.696796255,5.329954201,7.583114665,8.275337048,8.507544058,6.801529405,7.153277103,5.915206196,7.385843928,6.973583537,5.702820068,7.457614346,5.6448066,6.372530382,9.511835921,2.454748962,5.329202023,5.968693169,6.373512612,6.829954598,3.85372343,4.359015773,6.227407923,4.409482143,6.189813878,6.97035253,4.59569339,7.704344942,5.230991298,5.411885382,8.103398139,8.369924764,7.596436396,7.596436396,3.222545798,3.210015429,3.118135645,10.29636,4.688837188,1.977773791,7.516984366,1.93378553,3.776504702,6.324847287,5.194891391,10.41926489,5.529508042,10.61773249,9.788608967,8.967046763,8.499358228,8.296488699,11.77340059,12.34391476,6.811935993,8.91431786,6.470540649
4.286160816,11.33943709,2.960588056,10.9136471,8.628330517,7.920137091,10.54082802,6.23953277,5.004875004,3.155825984,6.594041427,7.722790356,8.972533164,11.71532979,5.693580623,6.008124637,4.756617426,7.441031239,9.640356999,3.630284086,7.311702494,5.382394812,9.220262303,10.99599672,9.870145243,6.747135899,6.062355953,5.581819641,7.063107673,4.753077196,3.407514733,7.353598597,7.094188346,7.340215949,7.997703384,3.340345696,7.57504582,6.230344319,5.632856188,11.71364337,7.637190604,7.797555923,7.797555923,4.250211234,10.98271433,3.13802501,10.17999843,5.330161486,2.136638856,7.267717924,9.630028322,4.477315127,5.156088925,4.525242823,10.10529355,5.812711914,8.352549478,6.351523042,8.167455862,5.457003198,6.916874696,6.844552592,9.217880585,6.614303236,8.092083439,6.704730604
9.635551672,7.268865552,4.043873307,3.102837224,9.806143205,6.322202062,3.575096303,6.554928732,4.21369889,3.761543385,3.658565224,6.224528275,8.612308389,12.00449286,4.802617105,4.494404082,5.495554581,5.998464532,4.759854778,3.579886676,5.128338952,3.262848309,4.867637602,12.05115252,3.47962166,4.694297574,3.741257164,7.756218413,4.870762693,6.341339826,2.6629883,4.893686029,4.583861391,4.956054428,4.209517936,3.942273329,5.715320202,4.316309463,4.117456819,8.86922669,6.372351362,7.583666308,7.583666308,2.843405236,3.933110789,3.156049365,10.33989955,5.256245707,2.472631459,7.764666803,1.976980951,2.690315723,3.839717598,3.464199977,9.287990309,3.881797712,9.062598084,7.126556972,9.282103263,6.068043018,6.648437836,9.282748461,8.47732485,5.547892447,5.494303634,4.763299523
1.881510152,7.013048145,2.607232588,2.400619314,5.315103033,4.527750141,2.834821603,2.643486377,2.513964723,1.840351404,2.558826624,4.815031842,4.972168362,9.41479381,3.238294965,3.045435132,3.604375724,5.813646406,4.150270908,2.523885011,4.790582563,1.982237415,5.875186172,7.751039811,2.551369539,4.086533171,2.924884891,3.633073092,3.631910548,4.707194021,2.175419476,3.925510277,5.933063658,3.405191687,3.022087736,2.379483508,3.752709006,3.265456855,3.011840647,8.240701667,6.354765161,7.976590784,7.976590784,2.282197008,3.347367143,2.202921828,9.481544649,3.850064387,1.507278455,6.439706673,1.792871236,3.078667961,3.708060241,3.350507963,9.37908382,3.632468276,10.59328433,9.906203432,10.60788923,9.417216363,9.008494501,11.39802481,12.80201908,9.392241656,10.17465816,9.468258147
